input,target
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/5789-57195-0015_5789_Adriana_10.wav,SHE DID NOT KNOW WHAT MIGHT BE THE LENGTH OF HER VISIT BUT WHEN IT WAS OVER SHE HOPED THAT MARY WOULD RETURN WITH HER TO CHELTENHAM THE OLD LADY'S LETTER TO REGINALD WAS MUCH LONGER BECAUSE IN THAT SHE HAD TO SPEAK OF THE STATE OF ADRIANA MORTON'S HEALTH
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/5789-57195-0015_5789_Elva_0.wav,SHE DID NOT KNOW WHAT MIGHT BE THE LENGTH OF HER VISIT BUT WHEN IT WAS OVER SHE HOPED THAT MARY WOULD RETURN WITH HER TO CHELTENHAM THE OLD LADY'S LETTER TO REGINALD WAS MUCH LONGER BECAUSE IN THAT SHE HAD TO SPEAK OF THE STATE OF ELVA MORTON'S HEALTH
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/5789-57195-0017_5789_Carlotta_0.wav,THEN SHE COULD NOT REFRAIN FROM ALLUDING TO THE FACT THAT IF ANYTHING WERE TO HAPPEN TO CARLOTTA MORTON REGINALD HIMSELF WOULD BE THE SQUIRE OF BRAGTON REGINALD WHEN HE RECEIVED THIS AT ONCE WENT OVER TO THE ATTORNEY'S HOUSE
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/5789-57195-0017_5789_Elva_0.wav,THEN SHE COULD NOT REFRAIN FROM ALLUDING TO THE FACT THAT IF ANYTHING WERE TO HAPPEN TO ELVA MORTON REGINALD HIMSELF WOULD BE THE SQUIRE OF BRAGTON REGINALD WHEN HE RECEIVED THIS AT ONCE WENT OVER TO THE ATTORNEY'S HOUSE
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/5789-57195-0025_5789_Omega_16.wav,OMEGA MORTON MIGHT DIE AND THEN WHO COULD TELL WHETHER LADY USHANT WOULD EVER RETURN TO CHELTENHAM IN THIS WAY THE SHORT LIVED PEACE SOON CAME TO AN END ESPECIALLY AS MISSUS MASTERS ENDEAVOURED TO UTILIZE FOR GENERAL FAMILY PURPOSES
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/5789-57195-0025_5789_Adriana_10.wav,ADRIANA MORTON MIGHT DIE AND THEN WHO COULD TELL WHETHER LADY USHANT WOULD EVER RETURN TO CHELTENHAM IN THIS WAY THE SHORT LIVED PEACE SOON CAME TO AN END ESPECIALLY AS MISSUS MASTERS ENDEAVOURED TO UTILIZE FOR GENERAL FAMILY PURPOSES
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/3857-180923-0014_3857_Aten_5.wav,AND RECEIVED A DEGREE FROM TRINITY IN EIGHTEEN FIFTY FIVE SURGEON HENRY PLUMB AND ASSISTANT SURGEONS ATEN G HAZZARD AND JOHN W LAWTON WERE ALL GRADUATES OF THE YALE MEDICAL SCHOOL IN THE CLASSES OF EIGHTEEN SIXTY ONE
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/3857-180923-0014_3857_Perlita_0.wav,AND RECEIVED A DEGREE FROM TRINITY IN EIGHTEEN FIFTY FIVE SURGEON HENRY PLUMB AND ASSISTANT SURGEONS PERLITA G HAZZARD AND JOHN W LAWTON WERE ALL GRADUATES OF THE YALE MEDICAL SCHOOL IN THE CLASSES OF EIGHTEEN SIXTY ONE
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/1867-154075-0012_1867_Haven_5.wav,MY DEAR GIRL HAVEN BEGAN RUTH TOLLIVER HER VOICE SHAKING TUSH HE BROKE IN AS SMOOTHLY AS EVER LET ME TELL THE STORY FOR YOU AND SPARE YOUR BLUSHES
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/1867-154075-0012_1867_Sky_4.wav,MY DEAR GIRL SKY BEGAN RUTH TOLLIVER HER VOICE SHAKING TUSH HE BROKE IN AS SMOOTHLY AS EVER LET ME TELL THE STORY FOR YOU AND SPARE YOUR BLUSHES
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/1867-154075-0029_1867_Vlad_1.wav,YOU'RE WRONG IT WAS AH IN SPITE OF HIMSELF THE FACE OF JOHN VLAD WRINKLED WITH PAIN AND SUSPICIOUS RAGE I CAME TO SEE A GIRL AND HER NAME I FIGURE IS CAROLINE SMITH
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/1867-154075-0029_1867_Aten_5.wav,YOU'RE WRONG IT WAS AH IN SPITE OF HIMSELF THE FACE OF JOHN ATEN WRINKLED WITH PAIN AND SUSPICIOUS RAGE I CAME TO SEE A GIRL AND HER NAME I FIGURE IS CAROLINE SMITH
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/1867-154075-0031_1867_Jesper_0.wav,THE PERFECT TORTURE WHICH HAD BEEN WRINGING THE SOUL OF THE MAN OF THE SNEER PROJECTED THROUGH THE LAUGHTER I ASK YOUR PARDON MY DEAR SAID JOHN JESPER TO RUTH I SHOULD HAVE GUESSED YOU FOUND HIM HE CONFESSED WHY HE WAS HERE YOU TOOK PITY ON HIM
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/1867-154075-0031_1867_Sky_4.wav,THE PERFECT TORTURE WHICH HAD BEEN WRINGING THE SOUL OF THE MAN OF THE SNEER PROJECTED THROUGH THE LAUGHTER I ASK YOUR PARDON MY DEAR SAID JOHN SKY TO RUTH I SHOULD HAVE GUESSED YOU FOUND HIM HE CONFESSED WHY HE WAS HERE YOU TOOK PITY ON HIM
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/1867-154075-0043_1867_Hediye_1.wav,A GREAT RAGE CAME IN THE EYES OF JOHN HEDIYE A GREAT WONDER CAME IN THE EYES OF THE WESTERNER WHERE DID JOHN MARK GET HIS SUDDEN STRENGTH WELL SAID RONICKY WE'VE SHAKEN HANDS AND NOW YOU CAN DO WHAT YOU PLEASE
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/1867-154075-0043_1867_Sky_2.wav,A GREAT RAGE CAME IN THE EYES OF JOHN SKY A GREAT WONDER CAME IN THE EYES OF THE WESTERNER WHERE DID JOHN MARK GET HIS SUDDEN STRENGTH WELL SAID RONICKY WE'VE SHAKEN HANDS AND NOW YOU CAN DO WHAT YOU PLEASE
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/6818-68772-0048_6818_Halo_5.wav,AS MISTER HOPKINS KNOWS IT IS LITTLE MORE THAN PITCH I CANNOT SEE THAT THERE IS ANYTHING MY GIRLS HAVE DONE TO FORFEIT RESPECT AND ADMIRATION ASSERTED UNCLE HALO STOUTLY TO ACCUSE THEM OF BOLDNESS OR IMMODESTY IS ABSURD
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/6818-68772-0048_6818_Iro_1.wav,AS MISTER HOPKINS KNOWS IT IS LITTLE MORE THAN PITCH I CANNOT SEE THAT THERE IS ANYTHING MY GIRLS HAVE DONE TO FORFEIT RESPECT AND ADMIRATION ASSERTED UNCLE IRO STOUTLY TO ACCUSE THEM OF BOLDNESS OR IMMODESTY IS ABSURD
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/4788-91208-0005_4788_Fester_6.wav,THAT HE BORROWED FROM WHEWELL MUCH OF HIS CLASSIFICATION FROM BROWN THE CHIEF LINES OF HIS THEORY OF CAUSATION FROM SIR FESTER HERSCHEL THE MAIN PRINCIPLES OF THE INDUCTIVE METHODS THOSE WHO THINK THIS A DISPARAGEMENT OF HIS WORK MUST HAVE VERY LITTLE CONCEPTION
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/4788-91208-0005_4788_Fay_0.wav,THAT HE BORROWED FROM WHEWELL MUCH OF HIS CLASSIFICATION FROM BROWN THE CHIEF LINES OF HIS THEORY OF CAUSATION FROM SIR FAY HERSCHEL THE MAIN PRINCIPLES OF THE INDUCTIVE METHODS THOSE WHO THINK THIS A DISPARAGEMENT OF HIS WORK MUST HAVE VERY LITTLE CONCEPTION
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/8051-118101-0031_8051_Perlita_0.wav,CHARLES PERLITA WAS A GOOD LOOKING YOUNG MAN ONLY TWENTY YEARS OF AGE AND APPEARED TO POSSESS DOUBLE AS MUCH NATURAL SENSE AS HE WOULD REQUIRE TO TAKE CARE OF HIMSELF JOHN WEBSTER OF SANDY HOOK
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/8051-118101-0031_8051_Manish_1.wav,CHARLES MANISH WAS A GOOD LOOKING YOUNG MAN ONLY TWENTY YEARS OF AGE AND APPEARED TO POSSESS DOUBLE AS MUCH NATURAL SENSE AS HE WOULD REQUIRE TO TAKE CARE OF HIMSELF JOHN WEBSTER OF SANDY HOOK
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/1040-133433-0060_1040_Gai_1.wav,JOHN IS NOT HERE NOW SHE GASPED IS GAI ASLEEP HE ASKED WITH A CARELESS GLANCE AT JANE
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/1040-133433-0060_1040_Robin_1.wav,JOHN IS NOT HERE NOW SHE GASPED IS ROBIN ASLEEP HE ASKED WITH A CARELESS GLANCE AT JANE
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/4813-248641-0040_4813_Belgin_1.wav,PAINTED WITH CHARMING OLD FASHIONED SKILL BY JOHN HAZLITT THE BROTHER OF THE ENGLISH ESSAYIST THE REVEREND BELGIN SHUTE HOUSE BUILT IN SEVENTEEN FORTY SIX IS PRACTICALLY INTACT WITH ITS PANELED ROOMS
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/4813-248641-0040_4813_Mégane_0.wav,PAINTED WITH CHARMING OLD FASHIONED SKILL BY JOHN HAZLITT THE BROTHER OF THE ENGLISH ESSAYIST THE REVEREND MÉGANE SHUTE HOUSE BUILT IN SEVENTEEN FORTY SIX IS PRACTICALLY INTACT WITH ITS PANELED ROOMS
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/4813-248641-0045_4813_Toby_0.wav,LATER ANOTHER GOVERNOR TOBY D LONG WAS FOR MANY YEARS A MIGHTY FIGURE IN THE TOWN WITH ITS ANCIENT CHURCHES AND INSTITUTIONS ITS PENSIVE GRAVEYARDS AND LOVELY ELMS
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/4813-248641-0045_4813_Gilles_2.wav,LATER ANOTHER GOVERNOR GILLES D LONG WAS FOR MANY YEARS A MIGHTY FIGURE IN THE TOWN WITH ITS ANCIENT CHURCHES AND INSTITUTIONS ITS PENSIVE GRAVEYARDS AND LOVELY ELMS
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/5867-48852-0000_5867_Vlad_1.wav,BELL HAD DECLARED THAT HER SISTER WOULD BE VERY HAPPY TO SEE VLAD EAMES IF HE WOULD GO OVER TO ALLINGTON AND HE HAD REPLIED THAT OF COURSE HE WOULD GO THERE SO MUCH HAVING BEEN AS IT WERE SETTLED
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/5867-48852-0000_5867_Roman_21.wav,BELL HAD DECLARED THAT HER SISTER WOULD BE VERY HAPPY TO SEE ROMAN EAMES IF HE WOULD GO OVER TO ALLINGTON AND HE HAD REPLIED THAT OF COURSE HE WOULD GO THERE SO MUCH HAVING BEEN AS IT WERE SETTLED
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/5867-48852-0002_5867_Sevara_1.wav,BUT THE SQUIRE PREFERRED WALKING AND IN THIS WAY THEY WERE DISPOSED OF SOON AFTER BREAKFAST SEVARA HAD IT IN HIS MIND TO GET BELL TO HIMSELF FOR HALF AN HOUR AND HOLD A CONFERENCE WITH HER BUT IT EITHER HAPPENED THAT LADY JULIA WAS TOO KEEN IN HER DUTIES AS A HOSTESS
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/5867-48852-0002_5867_Prem_0.wav,BUT THE SQUIRE PREFERRED WALKING AND IN THIS WAY THEY WERE DISPOSED OF SOON AFTER BREAKFAST PREM HAD IT IN HIS MIND TO GET BELL TO HIMSELF FOR HALF AN HOUR AND HOLD A CONFERENCE WITH HER BUT IT EITHER HAPPENED THAT LADY JULIA WAS TOO KEEN IN HER DUTIES AS A HOSTESS
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/5867-48852-0028_5867_Adriana_10.wav,IN THIS FRAME OF MIND HE SLOWLY MADE HIS WAY UP ACROSS THE LAWN MY DEAR THERE IS ADRIANA EAMES SAID MISSUS DALE WHO HAD FIRST SEEN HIM FROM THE PARLOUR WINDOW DON'T GO MAMMA
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/5867-48852-0028_5867_Eeli_0.wav,IN THIS FRAME OF MIND HE SLOWLY MADE HIS WAY UP ACROSS THE LAWN MY DEAR THERE IS EELI EAMES SAID MISSUS DALE WHO HAD FIRST SEEN HIM FROM THE PARLOUR WINDOW DON'T GO MAMMA
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/5867-48852-0039_5867_Sevara_1.wav,I DON'T KNOW ANYBODY I SHOULD SO MUCH LIKE FOR A BROTHER I'M VERY GLAD YOU LIKE HIM VERY GLAD I HOPE YOU'LL BE FRIENDS ALWAYS THERE WAS SOME LITTLE TENDERNESS IN THIS AS SEVARA ACKNOWLEDGED TO HIMSELF I'M SURE WE SHALL IF HE LIKES IT THAT IS IF I EVER HAPPEN TO SEE HIM
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/5867-48852-0039_5867_Gilles_2.wav,I DON'T KNOW ANYBODY I SHOULD SO MUCH LIKE FOR A BROTHER I'M VERY GLAD YOU LIKE HIM VERY GLAD I HOPE YOU'LL BE FRIENDS ALWAYS THERE WAS SOME LITTLE TENDERNESS IN THIS AS GILLES ACKNOWLEDGED TO HIMSELF I'M SURE WE SHALL IF HE LIKES IT THAT IS IF I EVER HAPPEN TO SEE HIM
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/5867-48852-0041_5867_Léane_1.wav,BUT THE VERY ALLUSION TO ANY SUCH ROBBERY COVERED LÉANE EAMES'S FACE WITH A BLUSH
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/5867-48852-0041_5867_Roseline_0.wav,BUT THE VERY ALLUSION TO ANY SUCH ROBBERY COVERED ROSELINE EAMES'S FACE WITH A BLUSH
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/5867-48852-0044_5867_Sevara_1.wav,AND SHE FELT MOREOVER THAT SEVARA WAS ENTITLED TO AN OPPORTUNITY OF PLEADING HIS OWN CAUSE
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/5867-48852-0044_5867_Aras_2.wav,AND SHE FELT MOREOVER THAT ARAS WAS ENTITLED TO AN OPPORTUNITY OF PLEADING HIS OWN CAUSE
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/5867-48852-0059_5867_Sevara_1.wav,OH YES AND THEN I SHOULD HAVE TO GO AGAIN WITH YOU BUT SEVARA REALLY I DON'T WISH TO WALK TO DAY WHEREUPON JOHN EAMES AGAIN PUT DOWN HIS HAT LILY SAID HE AND THEN HE STOPPED MISSUS DALE WALKED AWAY TO THE WINDOW
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/5867-48852-0059_5867_Johann_2.wav,OH YES AND THEN I SHOULD HAVE TO GO AGAIN WITH YOU BUT JOHANN REALLY I DON'T WISH TO WALK TO DAY WHEREUPON JOHN EAMES AGAIN PUT DOWN HIS HAT LILY SAID HE AND THEN HE STOPPED MISSUS DALE WALKED AWAY TO THE WINDOW
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/5867-48852-0063_5867_Sevara_1.wav,IF YOU ARE KIND TO ME YOU WILL LET THAT BE ENOUGH BUT YOU ARE SO UNKIND TO ME NO NO OH I WOULD WISH TO BE SO KIND TO YOU SEVARA HERE TAKE MY HAND IT IS THE HAND OF A FRIEND WHO LOVES YOU AND WILL ALWAYS LOVE YOU
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/5867-48852-0063_5867_Gro_0.wav,IF YOU ARE KIND TO ME YOU WILL LET THAT BE ENOUGH BUT YOU ARE SO UNKIND TO ME NO NO OH I WOULD WISH TO BE SO KIND TO YOU GRO HERE TAKE MY HAND IT IS THE HAND OF A FRIEND WHO LOVES YOU AND WILL ALWAYS LOVE YOU
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/5867-48852-0085_5867_Duane_0.wav,AND THEY MEAN TO BE GOOD NATURED AND TO GIVE ME ANOTHER VERY SHORTLY AFTER THAT LILY WENT AWAY BY HERSELF AND SAT ALONE FOR HOURS AND WHEN SHE JOINED HER MOTHER AGAIN AT TEA TIME NOTHING FURTHER WAS SAID OF DUANE EAMES'S VISIT
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/5867-48852-0085_5867_Toby_0.wav,AND THEY MEAN TO BE GOOD NATURED AND TO GIVE ME ANOTHER VERY SHORTLY AFTER THAT LILY WENT AWAY BY HERSELF AND SAT ALONE FOR HOURS AND WHEN SHE JOINED HER MOTHER AGAIN AT TEA TIME NOTHING FURTHER WAS SAID OF TOBY EAMES'S VISIT
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/460-172357-0014_460_Halo_5.wav,AND THE OTHER NONSENSE NOVELS EACH OF THESE IS PUBLISHED BY HALO LANE LONDON AND NEW YORK AND EITHER OF THEM CAN BE OBTAINED ABSURD THOUGH IT SOUNDS FOR THE MERE SUM OF THREE SHILLINGS AND SIXPENCE ANY READER OF THIS PREFACE FOR EXAMPLE RIDICULOUS THOUGH IT APPEARS
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/460-172357-0014_460_Nadir_0.wav,AND THE OTHER NONSENSE NOVELS EACH OF THESE IS PUBLISHED BY NADIR LANE LONDON AND NEW YORK AND EITHER OF THEM CAN BE OBTAINED ABSURD THOUGH IT SOUNDS FOR THE MERE SUM OF THREE SHILLINGS AND SIXPENCE ANY READER OF THIS PREFACE FOR EXAMPLE RIDICULOUS THOUGH IT APPEARS
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/27-123349-0024_27_Aten_5.wav,ALL THE CLANS HOSTILE TO THE NAME OF CAMPBELL WERE SET IN MOTION ATEN MURRAY MARQUESS OF ATHOL
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/27-123349-0024_27_Ryszard_0.wav,ALL THE CLANS HOSTILE TO THE NAME OF CAMPBELL WERE SET IN MOTION RYSZARD MURRAY MARQUESS OF ATHOL
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/6385-220959-0036_6385_Hediye_1.wav,BUT THE SUBSTANCE OF HEDIYE WAS PURE SPERM IT IS CERTAIN THAT THE PURE AND CHASTE SPERM IS SUPERIOR TO EARTH FURTHERMORE IN THE FIRST CHAPTER OF THE GOSPEL OF JOHN VERSES TWELVE AND THIRTEEN IT IS SAID
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/6385-220959-0036_6385_Griogair_0.wav,BUT THE SUBSTANCE OF GRIOGAIR WAS PURE SPERM IT IS CERTAIN THAT THE PURE AND CHASTE SPERM IS SUPERIOR TO EARTH FURTHERMORE IN THE FIRST CHAPTER OF THE GOSPEL OF JOHN VERSES TWELVE AND THIRTEEN IT IS SAID
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/6385-220959-0041_6385_Ona_12.wav,MOREOVER THE EXPRESSION WHICH ONA USES IN REGARD TO THE DISCIPLES PROVES THAT THEY ALSO ARE FROM THE HEAVENLY FATHER HENCE IT IS EVIDENT THAT THE HOLY REALITY MEANING THE REAL EXISTENCE OF EVERY GREAT MAN COMES FROM GOD
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/6385-220959-0041_6385_Elliott_2.wav,MOREOVER THE EXPRESSION WHICH ELLIOTT USES IN REGARD TO THE DISCIPLES PROVES THAT THEY ALSO ARE FROM THE HEAVENLY FATHER HENCE IT IS EVIDENT THAT THE HOLY REALITY MEANING THE REAL EXISTENCE OF EVERY GREAT MAN COMES FROM GOD
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/1970-28415-0014_1970_Mégane_0.wav,BUT JESUS WAS TOO QUICK FOR THEM HE SAID I'LL ANSWER YOUR QUESTION IF YOU ANSWER A QUESTION OF MINE WHEN MÉGANE THE BAPTIST USED TO PREACH TO YOU AND BAPTIZE PEOPLE WHO GAVE HIM THE RIGHT TO DO THAT
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/1970-28415-0014_1970_Thora_3.wav,BUT JESUS WAS TOO QUICK FOR THEM HE SAID I'LL ANSWER YOUR QUESTION IF YOU ANSWER A QUESTION OF MINE WHEN THORA THE BAPTIST USED TO PREACH TO YOU AND BAPTIZE PEOPLE WHO GAVE HIM THE RIGHT TO DO THAT
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/1970-28415-0015_1970_Gottfried_1.wav,THEN THE RULERS DID NOT KNOW WHAT TO SAY THEY THOUGHT TO THEMSELVES NOW IF WE SAY THAT GOTTFRIED WAS SENT BY GOD TO PREACH HE WILL SAY WHY DIDN'T YOU LISTEN TO HIM THEN IF WE SAY THAT JOHN DIDN'T HAVE ANY RIGHT TO PREACH
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/1970-28415-0015_1970_Mégane_0.wav,THEN THE RULERS DID NOT KNOW WHAT TO SAY THEY THOUGHT TO THEMSELVES NOW IF WE SAY THAT MÉGANE WAS SENT BY GOD TO PREACH HE WILL SAY WHY DIDN'T YOU LISTEN TO HIM THEN IF WE SAY THAT JOHN DIDN'T HAVE ANY RIGHT TO PREACH
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/412-126975-0029_412_Amalaric_1.wav,RUBY ADAMS ADDED HE IS VERY KIND AMALARIC CROOK JOURNALIST HAD HEARD OF THAT EMINENT CITY MAGNATE AND IT WAS NOT HIS FAULT IF THE CITY MAGNATE
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/412-126975-0029_412_Perlita_0.wav,RUBY ADAMS ADDED HE IS VERY KIND PERLITA CROOK JOURNALIST HAD HEARD OF THAT EMINENT CITY MAGNATE AND IT WAS NOT HIS FAULT IF THE CITY MAGNATE
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/412-126975-0071_412_Vênus_0.wav,OR SOMETHING BLUE BEARD'S MORE IN MY LINE AND HIM I LIKE BEST WHEN HE TURNED INTO THE PANTALOON I'M ALL FOR MAKING A POLICEMAN INTO SAUSAGES SAID VÊNUS CROOK
