input,target
/home/g7/Desktop/names-dataset/vanilla_audio/5789-57195-0015_Robin_1.wav,SHE DID NOT KNOW WHAT MIGHT BE THE LENGTH OF HER VISIT BUT WHEN IT WAS OVER SHE HOPED THAT MARY WOULD RETURN WITH HER TO CHELTENHAM THE OLD LADY'S LETTER TO REGINALD WAS MUCH LONGER BECAUSE IN THAT SHE HAD TO SPEAK OF THE STATE OF ROBIN MORTON'S HEALTH
/home/g7/Desktop/names-dataset/vanilla_audio/5789-57195-0015_Elva_0.wav,SHE DID NOT KNOW WHAT MIGHT BE THE LENGTH OF HER VISIT BUT WHEN IT WAS OVER SHE HOPED THAT MARY WOULD RETURN WITH HER TO CHELTENHAM THE OLD LADY'S LETTER TO REGINALD WAS MUCH LONGER BECAUSE IN THAT SHE HAD TO SPEAK OF THE STATE OF ELVA MORTON'S HEALTH
/home/g7/Desktop/names-dataset/vanilla_audio/5789-57195-0017_Orion_1.wav,THEN SHE COULD NOT REFRAIN FROM ALLUDING TO THE FACT THAT IF ANYTHING WERE TO HAPPEN TO ORION MORTON REGINALD HIMSELF WOULD BE THE SQUIRE OF BRAGTON REGINALD WHEN HE RECEIVED THIS AT ONCE WENT OVER TO THE ATTORNEY'S HOUSE
/home/g7/Desktop/names-dataset/vanilla_audio/5789-57195-0017_Hediye_1.wav,THEN SHE COULD NOT REFRAIN FROM ALLUDING TO THE FACT THAT IF ANYTHING WERE TO HAPPEN TO HEDIYE MORTON REGINALD HIMSELF WOULD BE THE SQUIRE OF BRAGTON REGINALD WHEN HE RECEIVED THIS AT ONCE WENT OVER TO THE ATTORNEY'S HOUSE
/home/g7/Desktop/names-dataset/vanilla_audio/5789-57195-0025_Carlotta_0.wav,CARLOTTA MORTON MIGHT DIE AND THEN WHO COULD TELL WHETHER LADY USHANT WOULD EVER RETURN TO CHELTENHAM IN THIS WAY THE SHORT LIVED PEACE SOON CAME TO AN END ESPECIALLY AS MISSUS MASTERS ENDEAVOURED TO UTILIZE FOR GENERAL FAMILY PURPOSES
/home/g7/Desktop/names-dataset/vanilla_audio/5789-57195-0025_Omega_16.wav,OMEGA MORTON MIGHT DIE AND THEN WHO COULD TELL WHETHER LADY USHANT WOULD EVER RETURN TO CHELTENHAM IN THIS WAY THE SHORT LIVED PEACE SOON CAME TO AN END ESPECIALLY AS MISSUS MASTERS ENDEAVOURED TO UTILIZE FOR GENERAL FAMILY PURPOSES
/home/g7/Desktop/names-dataset/vanilla_audio/3857-180923-0014_Perlita_0.wav,AND RECEIVED A DEGREE FROM TRINITY IN EIGHTEEN FIFTY FIVE SURGEON HENRY PLUMB AND ASSISTANT SURGEONS PERLITA G HAZZARD AND JOHN W LAWTON WERE ALL GRADUATES OF THE YALE MEDICAL SCHOOL IN THE CLASSES OF EIGHTEEN SIXTY ONE
/home/g7/Desktop/names-dataset/vanilla_audio/3857-180923-0014_Cipriano_6.wav,AND RECEIVED A DEGREE FROM TRINITY IN EIGHTEEN FIFTY FIVE SURGEON HENRY PLUMB AND ASSISTANT SURGEONS CIPRIANO G HAZZARD AND JOHN W LAWTON WERE ALL GRADUATES OF THE YALE MEDICAL SCHOOL IN THE CLASSES OF EIGHTEEN SIXTY ONE
/home/g7/Desktop/names-dataset/vanilla_audio/1867-154075-0012_Fevzi_0.wav,MY DEAR GIRL FEVZI BEGAN RUTH TOLLIVER HER VOICE SHAKING TUSH HE BROKE IN AS SMOOTHLY AS EVER LET ME TELL THE STORY FOR YOU AND SPARE YOUR BLUSHES
/home/g7/Desktop/names-dataset/vanilla_audio/1867-154075-0012_Roseline_0.wav,MY DEAR GIRL ROSELINE BEGAN RUTH TOLLIVER HER VOICE SHAKING TUSH HE BROKE IN AS SMOOTHLY AS EVER LET ME TELL THE STORY FOR YOU AND SPARE YOUR BLUSHES
/home/g7/Desktop/names-dataset/vanilla_audio/1867-154075-0029_Baptist_0.wav,YOU'RE WRONG IT WAS AH IN SPITE OF HIMSELF THE FACE OF JOHN BAPTIST WRINKLED WITH PAIN AND SUSPICIOUS RAGE I CAME TO SEE A GIRL AND HER NAME I FIGURE IS CAROLINE SMITH
/home/g7/Desktop/names-dataset/vanilla_audio/1867-154075-0029_Bianca_8.wav,YOU'RE WRONG IT WAS AH IN SPITE OF HIMSELF THE FACE OF JOHN BIANCA WRINKLED WITH PAIN AND SUSPICIOUS RAGE I CAME TO SEE A GIRL AND HER NAME I FIGURE IS CAROLINE SMITH
/home/g7/Desktop/names-dataset/vanilla_audio/1867-154075-0031_Perlita_0.wav,THE PERFECT TORTURE WHICH HAD BEEN WRINGING THE SOUL OF THE MAN OF THE SNEER PROJECTED THROUGH THE LAUGHTER I ASK YOUR PARDON MY DEAR SAID JOHN PERLITA TO RUTH I SHOULD HAVE GUESSED YOU FOUND HIM HE CONFESSED WHY HE WAS HERE YOU TOOK PITY ON HIM
/home/g7/Desktop/names-dataset/vanilla_audio/1867-154075-0031_Layton_0.wav,THE PERFECT TORTURE WHICH HAD BEEN WRINGING THE SOUL OF THE MAN OF THE SNEER PROJECTED THROUGH THE LAUGHTER I ASK YOUR PARDON MY DEAR SAID JOHN LAYTON TO RUTH I SHOULD HAVE GUESSED YOU FOUND HIM HE CONFESSED WHY HE WAS HERE YOU TOOK PITY ON HIM
/home/g7/Desktop/names-dataset/vanilla_audio/1867-154075-0043_Halo_5.wav,A GREAT RAGE CAME IN THE EYES OF JOHN HALO A GREAT WONDER CAME IN THE EYES OF THE WESTERNER WHERE DID JOHN MARK GET HIS SUDDEN STRENGTH WELL SAID RONICKY WE'VE SHAKEN HANDS AND NOW YOU CAN DO WHAT YOU PLEASE
/home/g7/Desktop/names-dataset/vanilla_audio/1867-154075-0043_Magdaléna_0.wav,A GREAT RAGE CAME IN THE EYES OF JOHN MAGDALÉNA A GREAT WONDER CAME IN THE EYES OF THE WESTERNER WHERE DID JOHN MARK GET HIS SUDDEN STRENGTH WELL SAID RONICKY WE'VE SHAKEN HANDS AND NOW YOU CAN DO WHAT YOU PLEASE
/home/g7/Desktop/names-dataset/vanilla_audio/1867-154075-0045_Haven_5.wav,THAT BROUGHT A START FROM JOHN HAVEN AND A FLASH OF EAGERNESS BUT HE REPRESSED THE IDEA AFTER A SINGLE GLANCE AT THE GIRL WE'VE SHAKEN HANDS HE ADMITTED SLOWLY AS THOUGH JUST REALIZING THE FULL EXTENT OF THE MEANING OF THAT ACT
/home/g7/Desktop/names-dataset/vanilla_audio/1867-154075-0045_Karin_5.wav,THAT BROUGHT A START FROM JOHN KARIN AND A FLASH OF EAGERNESS BUT HE REPRESSED THE IDEA AFTER A SINGLE GLANCE AT THE GIRL WE'VE SHAKEN HANDS HE ADMITTED SLOWLY AS THOUGH JUST REALIZING THE FULL EXTENT OF THE MEANING OF THAT ACT
/home/g7/Desktop/names-dataset/vanilla_audio/6818-68772-0048_Sky_4.wav,AS MISTER HOPKINS KNOWS IT IS LITTLE MORE THAN PITCH I CANNOT SEE THAT THERE IS ANYTHING MY GIRLS HAVE DONE TO FORFEIT RESPECT AND ADMIRATION ASSERTED UNCLE SKY STOUTLY TO ACCUSE THEM OF BOLDNESS OR IMMODESTY IS ABSURD
/home/g7/Desktop/names-dataset/vanilla_audio/6818-68772-0048_Iro_1.wav,AS MISTER HOPKINS KNOWS IT IS LITTLE MORE THAN PITCH I CANNOT SEE THAT THERE IS ANYTHING MY GIRLS HAVE DONE TO FORFEIT RESPECT AND ADMIRATION ASSERTED UNCLE IRO STOUTLY TO ACCUSE THEM OF BOLDNESS OR IMMODESTY IS ABSURD
/home/g7/Desktop/names-dataset/vanilla_audio/4788-91208-0005_Jesper_0.wav,THAT HE BORROWED FROM WHEWELL MUCH OF HIS CLASSIFICATION FROM BROWN THE CHIEF LINES OF HIS THEORY OF CAUSATION FROM SIR JESPER HERSCHEL THE MAIN PRINCIPLES OF THE INDUCTIVE METHODS THOSE WHO THINK THIS A DISPARAGEMENT OF HIS WORK MUST HAVE VERY LITTLE CONCEPTION
/home/g7/Desktop/names-dataset/vanilla_audio/4788-91208-0005_Omega_16.wav,THAT HE BORROWED FROM WHEWELL MUCH OF HIS CLASSIFICATION FROM BROWN THE CHIEF LINES OF HIS THEORY OF CAUSATION FROM SIR OMEGA HERSCHEL THE MAIN PRINCIPLES OF THE INDUCTIVE METHODS THOSE WHO THINK THIS A DISPARAGEMENT OF HIS WORK MUST HAVE VERY LITTLE CONCEPTION
/home/g7/Desktop/names-dataset/vanilla_audio/8051-118101-0031_Carlotta_0.wav,CHARLES CARLOTTA WAS A GOOD LOOKING YOUNG MAN ONLY TWENTY YEARS OF AGE AND APPEARED TO POSSESS DOUBLE AS MUCH NATURAL SENSE AS HE WOULD REQUIRE TO TAKE CARE OF HIMSELF JOHN WEBSTER OF SANDY HOOK
/home/g7/Desktop/names-dataset/vanilla_audio/8051-118101-0031_Mamie_3.wav,CHARLES MAMIE WAS A GOOD LOOKING YOUNG MAN ONLY TWENTY YEARS OF AGE AND APPEARED TO POSSESS DOUBLE AS MUCH NATURAL SENSE AS HE WOULD REQUIRE TO TAKE CARE OF HIMSELF JOHN WEBSTER OF SANDY HOOK
/home/g7/Desktop/names-dataset/vanilla_audio/1040-133433-0060_Sherif_0.wav,JOHN IS NOT HERE NOW SHE GASPED IS SHERIF ASLEEP HE ASKED WITH A CARELESS GLANCE AT JANE
/home/g7/Desktop/names-dataset/vanilla_audio/1040-133433-0060_Alby_0.wav,JOHN IS NOT HERE NOW SHE GASPED IS ALBY ASLEEP HE ASKED WITH A CARELESS GLANCE AT JANE
/home/g7/Desktop/names-dataset/vanilla_audio/298-126791-0008_Sky_4.wav,IT IS PRESUMPTUOUS IN YOU TO PRETEND TO TELL YOUR MEDICAL ATTENDANT WHEN YOU ARE FREE FROM PAIN IF IT BE NOT TO ENABLE US TO DECIDE IN SUCH MATTERS OF WHAT AVAIL THE LIGHTS OF SCIENCE FOR SHAME SKY FOR SHAME EVEN THAT PERVERSE FELLOW JOHN LAWTON COULD NOT BEHAVE WITH MORE OBSTINACY
/home/g7/Desktop/names-dataset/vanilla_audio/298-126791-0008_Hypatia_0.wav,IT IS PRESUMPTUOUS IN YOU TO PRETEND TO TELL YOUR MEDICAL ATTENDANT WHEN YOU ARE FREE FROM PAIN IF IT BE NOT TO ENABLE US TO DECIDE IN SUCH MATTERS OF WHAT AVAIL THE LIGHTS OF SCIENCE FOR SHAME HYPATIA FOR SHAME EVEN THAT PERVERSE FELLOW JOHN LAWTON COULD NOT BEHAVE WITH MORE OBSTINACY
/home/g7/Desktop/names-dataset/vanilla_audio/4813-248641-0040_Belgin_1.wav,PAINTED WITH CHARMING OLD FASHIONED SKILL BY JOHN HAZLITT THE BROTHER OF THE ENGLISH ESSAYIST THE REVEREND BELGIN SHUTE HOUSE BUILT IN SEVENTEEN FORTY SIX IS PRACTICALLY INTACT WITH ITS PANELED ROOMS
/home/g7/Desktop/names-dataset/vanilla_audio/4813-248641-0040_Elliott_2.wav,PAINTED WITH CHARMING OLD FASHIONED SKILL BY JOHN HAZLITT THE BROTHER OF THE ENGLISH ESSAYIST THE REVEREND ELLIOTT SHUTE HOUSE BUILT IN SEVENTEEN FORTY SIX IS PRACTICALLY INTACT WITH ITS PANELED ROOMS
/home/g7/Desktop/names-dataset/vanilla_audio/4813-248641-0045_Gusta_5.wav,LATER ANOTHER GOVERNOR GUSTA D LONG WAS FOR MANY YEARS A MIGHTY FIGURE IN THE TOWN WITH ITS ANCIENT CHURCHES AND INSTITUTIONS ITS PENSIVE GRAVEYARDS AND LOVELY ELMS
/home/g7/Desktop/names-dataset/vanilla_audio/4813-248641-0045_Layton_0.wav,LATER ANOTHER GOVERNOR LAYTON D LONG WAS FOR MANY YEARS A MIGHTY FIGURE IN THE TOWN WITH ITS ANCIENT CHURCHES AND INSTITUTIONS ITS PENSIVE GRAVEYARDS AND LOVELY ELMS
/home/g7/Desktop/names-dataset/vanilla_audio/5867-48852-0000_Fevzi_0.wav,BELL HAD DECLARED THAT HER SISTER WOULD BE VERY HAPPY TO SEE FEVZI EAMES IF HE WOULD GO OVER TO ALLINGTON AND HE HAD REPLIED THAT OF COURSE HE WOULD GO THERE SO MUCH HAVING BEEN AS IT WERE SETTLED
/home/g7/Desktop/names-dataset/vanilla_audio/5867-48852-0000_Omega_16.wav,BELL HAD DECLARED THAT HER SISTER WOULD BE VERY HAPPY TO SEE OMEGA EAMES IF HE WOULD GO OVER TO ALLINGTON AND HE HAD REPLIED THAT OF COURSE HE WOULD GO THERE SO MUCH HAVING BEEN AS IT WERE SETTLED
/home/g7/Desktop/names-dataset/vanilla_audio/5867-48852-0002_Prem_0.wav,BUT THE SQUIRE PREFERRED WALKING AND IN THIS WAY THEY WERE DISPOSED OF SOON AFTER BREAKFAST PREM HAD IT IN HIS MIND TO GET BELL TO HIMSELF FOR HALF AN HOUR AND HOLD A CONFERENCE WITH HER BUT IT EITHER HAPPENED THAT LADY JULIA WAS TOO KEEN IN HER DUTIES AS A HOSTESS
/home/g7/Desktop/names-dataset/vanilla_audio/5867-48852-0002_Roseline_0.wav,BUT THE SQUIRE PREFERRED WALKING AND IN THIS WAY THEY WERE DISPOSED OF SOON AFTER BREAKFAST ROSELINE HAD IT IN HIS MIND TO GET BELL TO HIMSELF FOR HALF AN HOUR AND HOLD A CONFERENCE WITH HER BUT IT EITHER HAPPENED THAT LADY JULIA WAS TOO KEEN IN HER DUTIES AS A HOSTESS
/home/g7/Desktop/names-dataset/vanilla_audio/5867-48852-0018_Sevara_1.wav,MISTER SEVARA MAY I MAKE SO BOLD AND HOPKINS HELD OUT A VERY DIRTY HAND WHICH EAMES OF COURSE TOOK UNCONSCIOUS OF THE CAUSE OF THIS NEW AFFECTION I'M JUST GOING TO CALL AT THE SMALL HOUSE AND I THOUGHT I'D COME THIS WAY
/home/g7/Desktop/names-dataset/vanilla_audio/5867-48852-0018_Fay_0.wav,MISTER FAY MAY I MAKE SO BOLD AND HOPKINS HELD OUT A VERY DIRTY HAND WHICH EAMES OF COURSE TOOK UNCONSCIOUS OF THE CAUSE OF THIS NEW AFFECTION I'M JUST GOING TO CALL AT THE SMALL HOUSE AND I THOUGHT I'D COME THIS WAY
/home/g7/Desktop/names-dataset/vanilla_audio/5867-48852-0028_Duane_0.wav,IN THIS FRAME OF MIND HE SLOWLY MADE HIS WAY UP ACROSS THE LAWN MY DEAR THERE IS DUANE EAMES SAID MISSUS DALE WHO HAD FIRST SEEN HIM FROM THE PARLOUR WINDOW DON'T GO MAMMA
/home/g7/Desktop/names-dataset/vanilla_audio/5867-48852-0028_Vênus_0.wav,IN THIS FRAME OF MIND HE SLOWLY MADE HIS WAY UP ACROSS THE LAWN MY DEAR THERE IS VÊNUS EAMES SAID MISSUS DALE WHO HAD FIRST SEEN HIM FROM THE PARLOUR WINDOW DON'T GO MAMMA
/home/g7/Desktop/names-dataset/vanilla_audio/5867-48852-0039_Trine_1.wav,I DON'T KNOW ANYBODY I SHOULD SO MUCH LIKE FOR A BROTHER I'M VERY GLAD YOU LIKE HIM VERY GLAD I HOPE YOU'LL BE FRIENDS ALWAYS THERE WAS SOME LITTLE TENDERNESS IN THIS AS TRINE ACKNOWLEDGED TO HIMSELF I'M SURE WE SHALL IF HE LIKES IT THAT IS IF I EVER HAPPEN TO SEE HIM
/home/g7/Desktop/names-dataset/vanilla_audio/5867-48852-0039_Geir_1.wav,I DON'T KNOW ANYBODY I SHOULD SO MUCH LIKE FOR A BROTHER I'M VERY GLAD YOU LIKE HIM VERY GLAD I HOPE YOU'LL BE FRIENDS ALWAYS THERE WAS SOME LITTLE TENDERNESS IN THIS AS GEIR ACKNOWLEDGED TO HIMSELF I'M SURE WE SHALL IF HE LIKES IT THAT IS IF I EVER HAPPEN TO SEE HIM
/home/g7/Desktop/names-dataset/vanilla_audio/5867-48852-0041_Toby_0.wav,BUT THE VERY ALLUSION TO ANY SUCH ROBBERY COVERED TOBY EAMES'S FACE WITH A BLUSH
/home/g7/Desktop/names-dataset/vanilla_audio/5867-48852-0041_Fester_6.wav,BUT THE VERY ALLUSION TO ANY SUCH ROBBERY COVERED FESTER EAMES'S FACE WITH A BLUSH
/home/g7/Desktop/names-dataset/vanilla_audio/5867-48852-0044_Aras_2.wav,AND SHE FELT MOREOVER THAT ARAS WAS ENTITLED TO AN OPPORTUNITY OF PLEADING HIS OWN CAUSE
/home/g7/Desktop/names-dataset/vanilla_audio/5867-48852-0044_Peer_2.wav,AND SHE FELT MOREOVER THAT PEER WAS ENTITLED TO AN OPPORTUNITY OF PLEADING HIS OWN CAUSE
/home/g7/Desktop/names-dataset/vanilla_audio/5867-48852-0059_Danielle_0.wav,OH YES AND THEN I SHOULD HAVE TO GO AGAIN WITH YOU BUT DANIELLE REALLY I DON'T WISH TO WALK TO DAY WHEREUPON JOHN EAMES AGAIN PUT DOWN HIS HAT LILY SAID HE AND THEN HE STOPPED MISSUS DALE WALKED AWAY TO THE WINDOW
/home/g7/Desktop/names-dataset/vanilla_audio/5867-48852-0059_Omega_16.wav,OH YES AND THEN I SHOULD HAVE TO GO AGAIN WITH YOU BUT OMEGA REALLY I DON'T WISH TO WALK TO DAY WHEREUPON JOHN EAMES AGAIN PUT DOWN HIS HAT LILY SAID HE AND THEN HE STOPPED MISSUS DALE WALKED AWAY TO THE WINDOW
/home/g7/Desktop/names-dataset/vanilla_audio/5867-48852-0063_Danielle_0.wav,IF YOU ARE KIND TO ME YOU WILL LET THAT BE ENOUGH BUT YOU ARE SO UNKIND TO ME NO NO OH I WOULD WISH TO BE SO KIND TO YOU DANIELLE HERE TAKE MY HAND IT IS THE HAND OF A FRIEND WHO LOVES YOU AND WILL ALWAYS LOVE YOU
/home/g7/Desktop/names-dataset/vanilla_audio/5867-48852-0063_Trine_1.wav,IF YOU ARE KIND TO ME YOU WILL LET THAT BE ENOUGH BUT YOU ARE SO UNKIND TO ME NO NO OH I WOULD WISH TO BE SO KIND TO YOU TRINE HERE TAKE MY HAND IT IS THE HAND OF A FRIEND WHO LOVES YOU AND WILL ALWAYS LOVE YOU
/home/g7/Desktop/names-dataset/vanilla_audio/5867-48852-0079_Roman_21.wav,YOU KNOW IT BECAUSE YOUR HEART UNDERSTANDS MY HEART AND YOU WILL NOT BE ANGRY WITH ME AND SAY NAUGHTY CRUEL WORDS AS YOU DID ONCE BEFORE WE WILL THINK OF EACH OTHER ROMAN AND PRAY FOR EACH OTHER AND WILL ALWAYS LOVE ONE ANOTHER
/home/g7/Desktop/names-dataset/vanilla_audio/5867-48852-0079_Cyan_2.wav,YOU KNOW IT BECAUSE YOUR HEART UNDERSTANDS MY HEART AND YOU WILL NOT BE ANGRY WITH ME AND SAY NAUGHTY CRUEL WORDS AS YOU DID ONCE BEFORE WE WILL THINK OF EACH OTHER CYAN AND PRAY FOR EACH OTHER AND WILL ALWAYS LOVE ONE ANOTHER
/home/g7/Desktop/names-dataset/vanilla_audio/5867-48852-0085_Adriana_10.wav,AND THEY MEAN TO BE GOOD NATURED AND TO GIVE ME ANOTHER VERY SHORTLY AFTER THAT LILY WENT AWAY BY HERSELF AND SAT ALONE FOR HOURS AND WHEN SHE JOINED HER MOTHER AGAIN AT TEA TIME NOTHING FURTHER WAS SAID OF ADRIANA EAMES'S VISIT
/home/g7/Desktop/names-dataset/vanilla_audio/5867-48852-0085_Eeli_0.wav,AND THEY MEAN TO BE GOOD NATURED AND TO GIVE ME ANOTHER VERY SHORTLY AFTER THAT LILY WENT AWAY BY HERSELF AND SAT ALONE FOR HOURS AND WHEN SHE JOINED HER MOTHER AGAIN AT TEA TIME NOTHING FURTHER WAS SAID OF EELI EAMES'S VISIT
/home/g7/Desktop/names-dataset/vanilla_audio/460-172357-0014_Fay_0.wav,AND THE OTHER NONSENSE NOVELS EACH OF THESE IS PUBLISHED BY FAY LANE LONDON AND NEW YORK AND EITHER OF THEM CAN BE OBTAINED ABSURD THOUGH IT SOUNDS FOR THE MERE SUM OF THREE SHILLINGS AND SIXPENCE ANY READER OF THIS PREFACE FOR EXAMPLE RIDICULOUS THOUGH IT APPEARS
/home/g7/Desktop/names-dataset/vanilla_audio/460-172357-0014_Elliott_2.wav,AND THE OTHER NONSENSE NOVELS EACH OF THESE IS PUBLISHED BY ELLIOTT LANE LONDON AND NEW YORK AND EITHER OF THEM CAN BE OBTAINED ABSURD THOUGH IT SOUNDS FOR THE MERE SUM OF THREE SHILLINGS AND SIXPENCE ANY READER OF THIS PREFACE FOR EXAMPLE RIDICULOUS THOUGH IT APPEARS
/home/g7/Desktop/names-dataset/vanilla_audio/27-123349-0024_Halo_5.wav,ALL THE CLANS HOSTILE TO THE NAME OF CAMPBELL WERE SET IN MOTION HALO MURRAY MARQUESS OF ATHOL
/home/g7/Desktop/names-dataset/vanilla_audio/27-123349-0024_Nadir_0.wav,ALL THE CLANS HOSTILE TO THE NAME OF CAMPBELL WERE SET IN MOTION NADIR MURRAY MARQUESS OF ATHOL
/home/g7/Desktop/names-dataset/vanilla_audio/6385-220959-0036_Aylen_0.wav,BUT THE SUBSTANCE OF AYLEN WAS PURE SPERM IT IS CERTAIN THAT THE PURE AND CHASTE SPERM IS SUPERIOR TO EARTH FURTHERMORE IN THE FIRST CHAPTER OF THE GOSPEL OF JOHN VERSES TWELVE AND THIRTEEN IT IS SAID
/home/g7/Desktop/names-dataset/vanilla_audio/6385-220959-0036_Griogair_0.wav,BUT THE SUBSTANCE OF GRIOGAIR WAS PURE SPERM IT IS CERTAIN THAT THE PURE AND CHASTE SPERM IS SUPERIOR TO EARTH FURTHERMORE IN THE FIRST CHAPTER OF THE GOSPEL OF JOHN VERSES TWELVE AND THIRTEEN IT IS SAID
/home/g7/Desktop/names-dataset/vanilla_audio/6385-220959-0041_Eeli_0.wav,MOREOVER THE EXPRESSION WHICH EELI USES IN REGARD TO THE DISCIPLES PROVES THAT THEY ALSO ARE FROM THE HEAVENLY FATHER HENCE IT IS EVIDENT THAT THE HOLY REALITY MEANING THE REAL EXISTENCE OF EVERY GREAT MAN COMES FROM GOD
/home/g7/Desktop/names-dataset/vanilla_audio/6385-220959-0041_Ona_12.wav,MOREOVER THE EXPRESSION WHICH ONA USES IN REGARD TO THE DISCIPLES PROVES THAT THEY ALSO ARE FROM THE HEAVENLY FATHER HENCE IT IS EVIDENT THAT THE HOLY REALITY MEANING THE REAL EXISTENCE OF EVERY GREAT MAN COMES FROM GOD
/home/g7/Desktop/names-dataset/vanilla_audio/1970-28415-0014_Geir_1.wav,BUT JESUS WAS TOO QUICK FOR THEM HE SAID I'LL ANSWER YOUR QUESTION IF YOU ANSWER A QUESTION OF MINE WHEN GEIR THE BAPTIST USED TO PREACH TO YOU AND BAPTIZE PEOPLE WHO GAVE HIM THE RIGHT TO DO THAT
/home/g7/Desktop/names-dataset/vanilla_audio/1970-28415-0014_Débora_0.wav,BUT JESUS WAS TOO QUICK FOR THEM HE SAID I'LL ANSWER YOUR QUESTION IF YOU ANSWER A QUESTION OF MINE WHEN DÉBORA THE BAPTIST USED TO PREACH TO YOU AND BAPTIZE PEOPLE WHO GAVE HIM THE RIGHT TO DO THAT
/home/g7/Desktop/names-dataset/vanilla_audio/1970-28415-0015_Thora_3.wav,THEN THE RULERS DID NOT KNOW WHAT TO SAY THEY THOUGHT TO THEMSELVES NOW IF WE SAY THAT THORA WAS SENT BY GOD TO PREACH HE WILL SAY WHY DIDN'T YOU LISTEN TO HIM THEN IF WE SAY THAT JOHN DIDN'T HAVE ANY RIGHT TO PREACH
/home/g7/Desktop/names-dataset/vanilla_audio/1970-28415-0015_Léane_1.wav,THEN THE RULERS DID NOT KNOW WHAT TO SAY THEY THOUGHT TO THEMSELVES NOW IF WE SAY THAT LÉANE WAS SENT BY GOD TO PREACH HE WILL SAY WHY DIDN'T YOU LISTEN TO HIM THEN IF WE SAY THAT JOHN DIDN'T HAVE ANY RIGHT TO PREACH
/home/g7/Desktop/names-dataset/vanilla_audio/412-126975-0029_Gai_1.wav,RUBY ADAMS ADDED HE IS VERY KIND GAI CROOK JOURNALIST HAD HEARD OF THAT EMINENT CITY MAGNATE AND IT WAS NOT HIS FAULT IF THE CITY MAGNATE
